CBSA.Code,CBSA.Title,CBSA.Geography,Gini_Index.Estimate,Gini_Index.MOE,Tweets.PA,Tweets.All,PA.Active,PA.Inactive,PA.Refused,PA.Missing
41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area",0.4336,0.0045,4088,163746,5028,1040,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.4377,0.0046,1640,80277,1896,804,0,0
30780,"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR Metro Area",0.4595,0.0046,1209,136492,4770,2298,0,0
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",0.4397,0.0047,1676,146731,11170,3290,25,0
17900,"Columbia, SC","Columbia, SC Metro Area",0.4529,0.0047,1829,128824,5472,2070,12,0
24860,"Greenville-Anderson-Mauldin, SC","Greenville-Anderson-Mauldin, SC Metro Area",0.4656,0.0047,1995,107065,4104,1712,0,0
45780,"Toledo, OH","Toledo, OH Metro Area",0.477,0.0048,1220,71351,1503,606,0,0
16860,"Chattanooga, TN-GA","Chattanooga, TN-GA Metro Area",0.4666,0.0049,1665,77356,2244,942,0,0
27260,"Jacksonville, FL","Jacksonville, FL Metro Area",0.4692,0.0049,4485,235529,10790,4265,5,0
13820,"Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",0.4794,0.0049,2329,175486,5887,2618,7,0
12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",0.4748,0.005,1193,99504,4086,1521,0,0
17820,"Colorado Springs, CO","Colorado Springs, CO Metro Area",0.4351,0.0052,2083,83396,2706,520,2,0
16700,"Charleston-North Charleston, SC","Charleston-North Charleston, SC Metro Area",0.4723,0.0052,2374,133754,3153,1062,3,0
10740,"Albuquerque, NM","Albuquerque, NM Metro Area",0.4651,0.0054,1649,117118,4264,936,0,0
35840,"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL Metro Area",0.4765,0.0054,1780,87726,1666,616,0,0
28940,"Knoxville, TN","Knoxville, TN Metro Area",0.4768,0.0054,1599,82410,4680,1575,0,0
44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area",0.4498,0.0055,860,62377,3168,819,0,0
36260,"Ogden-Clearfield, UT","Ogden-Clearfield, UT Metro Area",0.3949,0.0057,934,39356,7712,2008,0,0
29620,"Lansing-East Lansing, MI","Lansing-East Lansing, MI Metro Area",0.456,0.0057,817,53852,1473,381,0,0
30700,"Lincoln, NE","Lincoln, NE Metro Area",0.4459,0.0058,730,47840,2542,592,0,0
20260,"Duluth, MN-WI","Duluth, MN-WI Metro Area",0.4407,0.0059,450,22291,2262,558,0,0
21340,"El Paso, TX","El Paso, TX Metro Area",0.4613,0.0059,1067,78394,772,306,2,0
44140,"Springfield, MA","Springfield, MA Metro Area",0.4667,0.0059,1021,86295,1162,460,4,0
12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",0.4678,0.006,834,51313,4081,1848,7,0
41420,"Salem, OR","Salem, OR Metro Area",0.4221,0.0061,844,35769,886,210,6,0
38860,"Portland-South Portland, ME","Portland-South Portland, ME Metro Area",0.4504,0.0062,1190,89271,6726,1485,6,0
41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area",0.4447,0.0063,988,63405,6664,2996,0,0
19780,"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA Metro Area",0.4452,0.0063,1062,122510,5080,1420,5,0
22220,"Fayetteville-Springdale-Rogers, AR-MO","Fayetteville-Springdale-Rogers, AR-MO Metro Area",0.4719,0.0063,796,50809,2244,932,0,0
27140,"Jackson, MS","Jackson, MS Metro Area",0.4872,0.0063,655,55310,2538,1032,0,0
39340,"Provo-Orem, UT","Provo-Orem, UT Metro Area",0.416,0.0064,1052,38313,2616,390,0,0
11260,"Anchorage, AK","Anchorage, AK Metro Area",0.4182,0.0067,722,39092,1660,394,0,0
23060,"Fort Wayne, IN","Fort Wayne, IN Metro Area",0.4423,0.0067,787,47167,1464,486,3,0
40340,"Rochester, MN","Rochester, MN Metro Area",0.4404,0.0068,304,18201,2144,456,0,0
41060,"St. Cloud, MN","St. Cloud, MN Metro Area",0.4262,0.0069,215,21259,1058,250,4,0
39900,"Reno, NV","Reno, NV Metro Area",0.4666,0.0069,1243,68209,2196,582,0,0
45220,"Tallahassee, FL","Tallahassee, FL Metro Area",0.4766,0.0069,592,43962,5804,2552,0,0
17200,"Claremont-Lebanon, NH-VT","Claremont-Lebanon, NH-VT Micro Area",0.4536,0.007,949,27920,5812,1396,0,0
45820,"Topeka, KS","Topeka, KS Metro Area",0.4285,0.0071,236,33256,4405,1395,5,0
14260,"Boise City, ID","Boise City, ID Metro Area",0.4525,0.0071,1035,66979,5310,1490,5,0
19660,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.4589,0.0071,1129,92207,1616,766,0,0
37860,"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL Metro Area",0.4364,0.0072,803,41495,1526,674,2,0
16300,"Cedar Rapids, IA","Cedar Rapids, IA Metro Area",0.4301,0.0074,381,31216,1146,399,0,0
28700,"Kingsport-Bristol-Bristol, TN-VA","Kingsport-Bristol-Bristol, TN-VA Metro Area",0.4603,0.0074,434,20192,1990,935,0,0
43900,"Spartanburg, SC","Spartanburg, SC Metro Area",0.4506,0.0075,243,74319,700,352,2,0
13780,"Binghamton, NY","Binghamton, NY Metro Area",0.4522,0.0077,164,19557,1328,486,0,0
18580,"Corpus Christi, TX","Corpus Christi, TX Metro Area",0.4597,0.0078,870,69196,1104,507,3,0
18880,"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL Metro Area",0.4444,0.0079,889,43647,1392,730,0,0
22020,"Fargo, ND-MN","Fargo, ND-MN Metro Area",0.4493,0.0081,398,22493,2002,436,4,0
25180,"Hagerstown-Martinsburg, MD-WV","Hagerstown-Martinsburg, MD-WV Metro Area",0.4219,0.0083,244,26910,1580,698,2,0
15540,"Burlington-South Burlington, VT","Burlington-South Burlington, VT Metro Area",0.4397,0.0083,609,40802,3777,882,0,0
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.447,0.0084,1517,72812,1348,478,0,0
17780,"College Station-Bryan, TX","College Station-Bryan, TX Metro Area",0.5096,0.0085,412,23620,1200,381,0,0
38940,"Port St. Lucie, FL","Port St. Lucie, FL Metro Area",0.4907,0.0086,736,33805,1406,578,0,0
43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area",0.4304,0.0087,478,25293,3408,884,0,0
37460,"Panama City, FL","Panama City, FL Metro Area",0.4461,0.0087,444,35572,1372,822,2,0
46540,"Utica-Rome, NY","Utica-Rome, NY Metro Area",0.4498,0.0088,405,39471,1468,544,0,0
46220,"Tuscaloosa, AL","Tuscaloosa, AL Metro Area",0.4753,0.0091,556,43543,1167,477,0,0
23540,"Gainesville, FL","Gainesville, FL Metro Area",0.5142,0.0092,554,33817,1240,536,2,0
48660,"Wichita Falls, TX","Wichita Falls, TX Metro Area",0.4593,0.0094,257,8388,1020,558,3,0
16620,"Charleston, WV","Charleston, WV Metro Area",0.4695,0.01,280,27784,2079,741,0,0
25940,"Hilton Head Island-Bluffton-Beaufort, SC","Hilton Head Island-Bluffton-Beaufort, SC Metro Area",0.4727,0.01,703,34216,1092,244,0,0
13740,"Billings, MT","Billings, MT Metro Area",0.4509,0.0101,116,29990,1338,396,0,0
24020,"Glens Falls, NY","Glens Falls, NY Metro Area",0.43,0.0105,268,14244,1746,516,0,0
43580,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD Metro Area",0.4303,0.0111,166,11163,2965,1560,0,0
19060,"Cumberland, MD-WV","Cumberland, MD-WV Metro Area",0.4495,0.0114,40,9138,704,330,0,0
39660,"Rapid City, SD","Rapid City, SD Metro Area",0.4368,0.0115,220,16067,2286,576,0,0
13220,"Beckley, WV","Beckley, WV Metro Area",0.4463,0.0121,194,10591,724,360,0,0
30860,"Logan, UT-ID","Logan, UT-ID Metro Area",0.4303,0.0124,211,6399,954,184,0,0
13900,"Bismarck, ND","Bismarck, ND Metro Area",0.438,0.0127,83,15997,3288,896,12,0
13620,"Berlin, NH-VT","Berlin, NH-VT Micro Area",0.4268,0.0132,208,5627,742,312,0,0
26580,"Huntington-Ashland, WV-KY-OH","Huntington-Ashland, WV-KY-OH Metro Area",0.4766,0.0133,396,23734,6594,2723,7,0
24220,"Grand Forks, ND-MN","Grand Forks, ND-MN Metro Area",0.4685,0.0138,310,9534,824,270,2,0
24260,"Grand Island, NE","Grand Island, NE Metro Area",0.4258,0.0147,80,12048,2056,864,4,0
33500,"Minot, ND","Minot, ND Micro Area",0.4229,0.0149,54,5811,1386,516,3,0
35740,"Norfolk, NE","Norfolk, NE Micro Area",0.4194,0.0179,35,3281,1449,546,0,0
35820,"North Platte, NE","North Platte, NE Micro Area",0.4254,0.0214,59,4217,1155,417,0,0
42420,"Scottsbluff, NE","Scottsbluff, NE Micro Area",0.4535,0.0216,30,2866,1290,483,3,0
